"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Gulpen-Wittem";1729;"Gulpen-Wittem";14206;"30-03-2022";"12-04-2022";92;647.6;0;0;1;7
"Haaksbergen";158;"Haaksbergen";24229;"30-03-2022";"12-04-2022";264;1089.6;4;16.5;0;0
"Haarlem";392;"Haarlem";162543;"30-03-2022";"12-04-2022";1780;1095.1;13;8;2;1.2
"Haarlemmermeer";394;"Haarlemmermeer";157789;"30-03-2022";"12-04-2022";1738;1101.5;5;3.2;1;0.6
"Halderberge";1655;"Halderberge";30430;"30-03-2022";"12-04-2022";197;647.4;5;16.4;0;0
"Hardenberg";160;"Hardenberg";61357;"30-03-2022";"12-04-2022";816;1329.9;5;8.1;0;0
"Harderwijk";243;"Harderwijk";48726;"30-03-2022";"12-04-2022";519;1065.1;2;4.1;0;0
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18413;"30-03-2022";"12-04-2022";132;716.9;1;5.4;0;0
"Harlingen";72;"Harlingen";15807;"30-03-2022";"12-04-2022";123;778.1;3;19;0;0
"Hattem";244;"Hattem";12228;"30-03-2022";"12-04-2022";144;1177.6;0;0;0;0
"Heemskerk";396;"Heemskerk";39191;"30-03-2022";"12-04-2022";347;885.4;0;0;0;0
"Heemstede";397;"Heemstede";27545;"30-03-2022";"12-04-2022";353;1281.5;4;14.5;0;0
"Heerde";246;"Heerde";18776;"30-03-2022";"12-04-2022";222;1182.4;2;10.7;0;0
"Heerenveen";74;"Heerenveen";50650;"30-03-2022";"12-04-2022";512;1010.9;7;13.8;0;0
"Heerlen";917;"Heerlen";86936;"30-03-2022";"12-04-2022";623;716.6;11;12.7;1;1.2
"Heeze-Leende";1658;"Heeze-Leende";16243;"30-03-2022";"12-04-2022";146;898.8;0;0;1;6.2
"Heiloo";399;"Heiloo";24144;"30-03-2022";"12-04-2022";245;1014.7;3;12.4;0;0
"Hellendoorn";163;"Hellendoorn";35932;"30-03-2022";"12-04-2022";476;1324.7;4;11.1;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40312;"30-03-2022";"12-04-2022";387;960;7;17.4;0;0
"Helmond";794;"Helmond";92627;"30-03-2022";"12-04-2022";544;587.3;9;9.7;1;1.1
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31258;"30-03-2022";"12-04-2022";292;934.2;2;6.4;0;0
"Hengelo";164;"Hengelo";81049;"30-03-2022";"12-04-2022";1029;1269.6;10;12.3;1;1.2
"Het Hogeland";1966;"Het Hogeland";47834;"30-03-2022";"12-04-2022";632;1321.2;4;8.4;0;0
"Heumen";252;"Heumen";16569;"30-03-2022";"12-04-2022";188;1134.6;2;12.1;0;0
"Heusden";797;"Heusden";45005;"30-03-2022";"12-04-2022";260;577.7;2;4.4;0;0
"Hillegom";534;"Hillegom";22197;"30-03-2022";"12-04-2022";246;1108.3;2;9;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15698;"30-03-2022";"12-04-2022";122;777.2;4;25.5;0;0
"Hilversum";402;"Hilversum";91235;"30-03-2022";"12-04-2022";792;868.1;9;9.9;0;0
"Hoeksche Waard";1963;"Hoeksche Waard";88047;"30-03-2022";"12-04-2022";985;1118.7;9;10.2;0;0
"Hof van Twente";1735;"Hof van Twente";35040;"30-03-2022";"12-04-2022";409;1167.2;4;11.4;0;0
"Hollands Kroon";1911;"Hollands Kroon";48583;"30-03-2022";"12-04-2022";337;693.7;5;10.3;0;0
"Hoogeveen";118;"Hoogeveen";55603;"30-03-2022";"12-04-2022";644;1158.2;10;18;1;1.8
"Hoorn";405;"Hoorn";73619;"30-03-2022";"12-04-2022";637;865.3;9;12.2;1;1.4
"Horst aan de Maas";1507;"Horst aan de Maas";42487;"30-03-2022";"12-04-2022";339;797.9;1;2.4;0;0
"Houten";321;"Houten";50223;"30-03-2022";"12-04-2022";684;1361.9;2;4;0;0
"Huizen";406;"Huizen";41090;"30-03-2022";"12-04-2022";341;829.9;3;7.3;0;0
"Hulst";677;"Hulst";27575;"30-03-2022";"12-04-2022";255;924.8;5;18.1;0;0
"IJsselstein";353;"IJsselstein";33819;"30-03-2022";"12-04-2022";332;981.7;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27541;"30-03-2022";"12-04-2022";288;1045.7;2;7.3;0;0
"Kampen";166;"Kampen";54474;"30-03-2022";"12-04-2022";735;1349.3;6;11;2;3.7
"Kapelle";678;"Kapelle";12882;"30-03-2022";"12-04-2022";135;1048;2;15.5;0;0
"Katwijk";537;"Katwijk";65995;"30-03-2022";"12-04-2022";481;728.8;2;3;1;1.5
"Kerkrade";928;"Kerkrade";45442;"30-03-2022";"12-04-2022";197;433.5;6;13.2;1;2.2
"Koggenland";1598;"Koggenland";22940;"30-03-2022";"12-04-2022";220;959;3;13.1;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29410;"30-03-2022";"12-04-2022";220;748;1;3.4;0;0
"Krimpenerwaard";1931;"Krimpenerwaard";56622;"30-03-2022";"12-04-2022";517;913.1;7;12.4;0;0
"Laarbeek";1659;"Laarbeek";22805;"30-03-2022";"12-04-2022";141;618.3;1;4.4;0;0
"Land van Cuijk";1982;"Land van Cuijk";90194;"30-03-2022";"12-04-2022";787;872.6;12;13.3;1;1.1
