"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"Zeewolde";23348;"17-4-2023";"23-4-2023";1;4,3;371,36
"Zeist";65987;"17-4-2023";"23-4-2023";1;1,5;540,3
"Zevenaar";44645;"17-4-2023";"23-4-2023";1;2,2;269,14
"Zoetermeer";125767;"17-4-2023";"23-4-2023";2;1,6;284,88
"Zoeterwoude";9302;"17-4-2023";"23-4-2023";0;0;362,6
"Zuidplas";45794;"17-4-2023";"23-4-2023";2;4,4;596,09
"Zundert";22260;"17-4-2023";"23-4-2023";2;9;263,15
"Zutphen";48330;"17-4-2023";"23-4-2023";0;0;738,17
"Zwartewaterland";23012;"17-4-2023";"23-4-2023";2;8,7;1047,06
"Zwijndrecht";44789;"17-4-2023";"23-4-2023";0;0;229,26
"Zwolle";130668;"17-4-2023";"23-4-2023";3;2,3;855,29
