"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Sint-Michielsgestel";114;390.4;36;123.3;19;65.1
"Sittard-Geleen";410;443.6;115;124.4;62;67.1
"Sliedrecht";65;257.8;9;35.7;5;19.8
"Sluis";17;73.2;8;34.5;4;17.2
"Smallingerland";56;99.7;9;16;5;8.9
"Soest";92;197.4;23;49.3;12;25.7
"Someren";104;536.7;33;170.3;8;41.3
"Son en Breugel";74;427.2;31;179;14;80.8
"Stadskanaal";8;25.2;2;6.3;2;6.3
"Staphorst";59;344.1;8;46.7;4;23.3
"Stede Broec";49;225.5;19;87.4;5;23
"Steenbergen";86;351;13;53.1;13;53.1
"Steenwijkerland";87;197.1;14;31.7;5;11.3
"Stein";116;464;43;172;15;60
"Stichtse Vecht";120;184.8;34;52.4;13;20
"Súdwest-Fryslân";106;117.8;18;20;4;4.4
"Terneuzen";116;213.1;25;45.9;4;7.3
"Terschelling";2;40.9;0;0;0;0
"Texel";11;81;5;36.8;2;14.7
"Teylingen";59;157.6;13;34.7;2;5.3
"Tholen";168;652.2;40;155.3;16;62.1
"Tiel";148;351;42;99.6;18;42.7
"Tilburg";794;361.2;249;113.3;162;73.7
"Tubbergen";81;380.7;12;56.4;5;23.5
"Twenterand";61;180.8;12;35.6;2;5.9
"Tynaarlo";39;115.1;9;26.6;0;0
"Tytsjerksteradiel";16;49.9;4;12.5;1;3.1
"Uden";260;617.3;115;273;63;149.6
"Uitgeest";23;168.5;5;36.6;1;7.3
"Uithoorn";58;196.8;16;54.3;2;6.8
"Urk";84;399.4;22;104.6;4;19
"Utrecht";1211;338.6;262;73.2;115;32.2
"Utrechtse Heuvelrug";118;237.9;28;56.5;14;28.2
"Vaals";30;297.1;10;99;1;9.9
"Valkenburg aan de Geul";87;531.8;19;116.1;7;42.8
"Valkenswaard";178;570.5;19;60.9;37;118.6
"Veendam";8;29.2;2;7.3;0;0
"Veenendaal";193;290.3;47;70.7;10;15
"Veere";27;123.4;6;27.4;2;9.1
"Veldhoven";129;283.8;31;68.2;16;35.2
"Velsen";282;410.7;32;46.6;39;56.8
"Venlo";307;301.6;129;126.7;63;61.9
"Venray";123;282.1;37;84.9;17;39
"Vijfheerenlanden";273;480.5;34;59.8;37;65.1
"Vlaardingen";282;384;43;58.5;29;39.5
"Vlieland";0;0;0;0;0;0
"Vlissingen";50;112.7;9;20.3;5;11.3
"Voerendaal";47;376.9;17;136.3;8;64.1
"Voorschoten";64;250;9;35.2;11;43
"Voorst";58;236.3;18;73.3;11;44.8
"Vught";106;399.2;42;158.2;18;67.8
"Waadhoeke";102;221.4;12;26;15;32.6
"Waalre";30;171.9;7;40.1;5;28.6
"Waalwijk";183;376.4;36;74;33;67.9
"Waddinxveen";75;256;16;54.6;7;23.9
"Wageningen";52;131.1;20;50.4;9;22.7
"Wassenaar";52;198.4;9;34.3;12;45.8
"Waterland";32;183.7;16;91.8;4;23
"Weert";138;275.4;67;133.7;14;27.9
"Weesp";80;405.5;9;45.6;11;55.8
"West Betuwe";213;416;43;84;26;50.8
"West Maas en Waal";84;434.8;19;98.3;9;46.6
"Westerkwartier";58;91.5;14;22.1;4;6.3
"Westerveld";32;164.4;9;46.2;4;20.6
"Westervoort";37;247.1;12;80.1;5;33.4
"Westerwolde";6;23.3;5;19.4;0;0
"Westland";276;250.1;57;51.7;30;27.2
"Weststellingwerf";28;108;3;11.6;4;15.4
"Westvoorne";25;169.7;6;40.7;0;0
"Wierden";49;200.5;5;20.5;6;24.5
"Wijchen";144;350.2;43;104.6;13;31.6
"Wijdemeren";32;131.4;8;32.8;0;0
"Wijk bij Duurstede";39;163.1;9;37.6;1;4.2
"Winterswijk";45;155.9;7;24.3;3;10.4
"Woensdrecht";66;301.6;5;22.8;7;32
"Woerden";174;332.7;49;93.7;20;38.2
"Wormerland";47;288.4;20;122.7;6;36.8
"Woudenberg";32;239.5;9;67.4;2;15
"Zaanstad";444;283.3;117;74.7;48;30.6
"Zaltbommel";99;342.5;20;69.2;9;31.1
"Zandvoort";32;187;10;58.4;8;46.7
"Zeewolde";47;207.5;12;53;5;22.1
"Zeist";208;320.3;37;57;23;35.4
"Zevenaar";114;260.6;44;100.6;15;34.3
"Zoetermeer";208;166;51;40.7;13;10.4
"Zoeterwoude";13;151;3;34.8;1;11.6
"Zuidplas";146;332.6;24;54.7;21;47.8
"Zundert";101;462.9;24;110;10;45.8
"Zutphen";102;212.8;31;64.7;13;27.1
"Zwartewaterland";146;643.5;35;154.3;19;83.7
"Zwijndrecht";160;357.6;23;51.4;27;60.3
"Zwolle";357;277.1;53;41.1;46;35.7
