"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"Neder-Betuwe";25032;"05-04-2023";"18-04-2023";1;4
"Nederweert";17323;"05-04-2023";"18-04-2023";0;0
"Nieuwegein";64554;"05-04-2023";"18-04-2023";3;4,6
"Nieuwkoop";29304;"05-04-2023";"18-04-2023";3;10,2
"Nijkerk";44311;"05-04-2023";"18-04-2023";0;0
"Nijmegen";179100;"05-04-2023";"18-04-2023";7;3,9
"Nissewaard";86332;"05-04-2023";"18-04-2023";5;5,8
"Noardeast-Fryslân";45593;"05-04-2023";"18-04-2023";0;0
"Noord-Beveland";7668;"05-04-2023";"18-04-2023";2;26,1
"Noordenveld";31238;"05-04-2023";"18-04-2023";1;3,2
"Noordoostpolder";48048;"05-04-2023";"18-04-2023";0;0
"Noordwijk";44365;"05-04-2023";"18-04-2023";3;6,8
"Nuenen, Gerwen en Nederwetten";23826;"05-04-2023";"18-04-2023";2;8,4
"Nunspeet";28223;"05-04-2023";"18-04-2023";1;3,5
"Oegstgeest";25499;"05-04-2023";"18-04-2023";1;3,9
"Oirschot";19061;"05-04-2023";"18-04-2023";0;0
"Oisterwijk";32503;"05-04-2023";"18-04-2023";0;0
"Oldambt";38521;"05-04-2023";"18-04-2023";0;0
"Oldebroek";23930;"05-04-2023";"18-04-2023";3;12,5
"Oldenzaal";31741;"05-04-2023";"18-04-2023";0;0
"Olst-Wijhe";18496;"05-04-2023";"18-04-2023";1;5,4
"Ommen";18457;"05-04-2023";"18-04-2023";3;16,3
"Oost Gelre";29603;"05-04-2023";"18-04-2023";0;0
"Oosterhout";56535;"05-04-2023";"18-04-2023";3;5,3
"Ooststellingwerf";25680;"05-04-2023";"18-04-2023";0;0
"Oostzaan";9639;"05-04-2023";"18-04-2023";0;0
"Opmeer";12074;"05-04-2023";"18-04-2023";1;8,3
"Opsterland";29791;"05-04-2023";"18-04-2023";0;0
"Oss";93307;"05-04-2023";"18-04-2023";4;4,3
"Oude IJsselstreek";39387;"05-04-2023";"18-04-2023";2;5,1
"Ouder-Amstel";14212;"05-04-2023";"18-04-2023";0;0
"Oudewater";10159;"05-04-2023";"18-04-2023";1;9,8
"Overbetuwe";48266;"05-04-2023";"18-04-2023";2;4,1
"Papendrecht";32208;"05-04-2023";"18-04-2023";0;0
"Peel en Maas";44278;"05-04-2023";"18-04-2023";0;0
"Pekela";12196;"05-04-2023";"18-04-2023";0;0
"Pijnacker-Nootdorp";56572;"05-04-2023";"18-04-2023";3;5,3
"Purmerend";92240;"05-04-2023";"18-04-2023";4;4,3
"Putten";24598;"05-04-2023";"18-04-2023";1;4,1
"Raalte";38140;"05-04-2023";"18-04-2023";2;5,2
"Reimerswaal";22920;"05-04-2023";"18-04-2023";1;4,4
"Renkum";31358;"05-04-2023";"18-04-2023";0;0
"Renswoude";5651;"05-04-2023";"18-04-2023";0;0
"Reusel-De Mierden";13271;"05-04-2023";"18-04-2023";0;0
"Rheden";43435;"05-04-2023";"18-04-2023";1;2,3
"Rhenen";20265;"05-04-2023";"18-04-2023";0;0
"Ridderkerk";47099;"05-04-2023";"18-04-2023";3;6,4
"Rijssen-Holten";38231;"05-04-2023";"18-04-2023";2;5,2
"Rijswijk";56941;"05-04-2023";"18-04-2023";2;3,5
"Roerdalen";20558;"05-04-2023";"18-04-2023";0;0
"Roermond";59184;"05-04-2023";"18-04-2023";0;0
"Roosendaal";77244;"05-04-2023";"18-04-2023";2;2,6
"Rotterdam";655468;"05-04-2023";"18-04-2023";36;5,5
"Rozendaal";1756;"05-04-2023";"18-04-2023";0;0
"Rucphen";23326;"05-04-2023";"18-04-2023";0;0
"Schagen";46833;"05-04-2023";"18-04-2023";2;4,3
"Scherpenzeel";10317;"05-04-2023";"18-04-2023";0;0
"Schiedam";79644;"05-04-2023";"18-04-2023";5;6,3
"Schiermonnikoog";944;"05-04-2023";"18-04-2023";0;0
"Schouwen-Duiveland";34152;"05-04-2023";"18-04-2023";2;5,9
"Simpelveld";10425;"05-04-2023";"18-04-2023";0;0
"Sint-Michielsgestel";29731;"05-04-2023";"18-04-2023";0;0
"Sittard-Geleen";91719;"05-04-2023";"18-04-2023";2;2,2
"Sliedrecht";25897;"05-04-2023";"18-04-2023";0;0
"Sluis";23141;"05-04-2023";"18-04-2023";0;0
"Smallingerland";55895;"05-04-2023";"18-04-2023";0;0
"Soest";47113;"05-04-2023";"18-04-2023";0;0
"Someren";19701;"05-04-2023";"18-04-2023";0;0
"Son en Breugel";17775;"05-04-2023";"18-04-2023";0;0
"Stadskanaal";31851;"05-04-2023";"18-04-2023";3;9,4
"Staphorst";17282;"05-04-2023";"18-04-2023";2;11,6
"Stede Broec";21947;"05-04-2023";"18-04-2023";1;4,6
"Steenbergen";24333;"05-04-2023";"18-04-2023";2;8,2
"Steenwijkerland";44741;"05-04-2023";"18-04-2023";1;2,2
"Stein";24803;"05-04-2023";"18-04-2023";1;4
"Stichtse Vecht";65240;"05-04-2023";"18-04-2023";3;4,6
"Súdwest-Fryslân";90300;"05-04-2023";"18-04-2023";2;2,2
"Terneuzen";54501;"05-04-2023";"18-04-2023";1;1,8
"Terschelling";4960;"05-04-2023";"18-04-2023";0;0
"Texel";13687;"05-04-2023";"18-04-2023";0;0
"Teylingen";37942;"05-04-2023";"18-04-2023";2;5,3
"Tholen";26401;"05-04-2023";"18-04-2023";3;11,4
"Tiel";42277;"05-04-2023";"18-04-2023";2;4,7
"Tilburg";224459;"05-04-2023";"18-04-2023";3;1,3
"Tubbergen";21364;"05-04-2023";"18-04-2023";0;0
"Twenterand";33718;"05-04-2023";"18-04-2023";0;0
"Tynaarlo";34221;"05-04-2023";"18-04-2023";3;8,8
"Tytsjerksteradiel";32282;"05-04-2023";"18-04-2023";0;0
"Uitgeest";13563;"05-04-2023";"18-04-2023";0;0
"Uithoorn";31018;"05-04-2023";"18-04-2023";0;0
"Urk";21468;"05-04-2023";"18-04-2023";1;4,7
"Utrecht";361699;"05-04-2023";"18-04-2023";7;1,9
"Utrechtse Heuvelrug";49981;"05-04-2023";"18-04-2023";2;4
"Vaals";10135;"05-04-2023";"18-04-2023";0;0
"Valkenburg aan de Geul";16167;"05-04-2023";"18-04-2023";0;0
"Valkenswaard";31236;"05-04-2023";"18-04-2023";0;0
"Veendam";27466;"05-04-2023";"18-04-2023";3;10,9
"Veenendaal";67671;"05-04-2023";"18-04-2023";0;0
"Veere";21850;"05-04-2023";"18-04-2023";2;9,2
"Veldhoven";45822;"05-04-2023";"18-04-2023";1;2,2
"Velsen";68482;"05-04-2023";"18-04-2023";0;0
"Venlo";102136;"05-04-2023";"18-04-2023";1;1
"Venray";43964;"05-04-2023";"18-04-2023";0;0
"Vijfheerenlanden";58788;"05-04-2023";"18-04-2023";2;3,4
"Vlaardingen";74143;"05-04-2023";"18-04-2023";3;4
"Vlieland";1195;"05-04-2023";"18-04-2023";0;0
"Vlissingen";44585;"05-04-2023";"18-04-2023";6;13,5
"Voerendaal";12426;"05-04-2023";"18-04-2023";1;8
"Voorne aan Zee";73238;"05-04-2023";"18-04-2023";2;2,7
"Voorschoten";25627;"05-04-2023";"18-04-2023";0;0
"Voorst";24994;"05-04-2023";"18-04-2023";2;8
"Vught";31783;"05-04-2023";"18-04-2023";0;0
