"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"Nuenen, Gerwen en Nederwetten";23826;"15-03-2023";"28-03-2023";5;21;1;4,2
"Nunspeet";28223;"15-03-2023";"28-03-2023";19;67,3;6;21,3
"Oegstgeest";25499;"15-03-2023";"28-03-2023";12;47,1;3;11,8
"Oirschot";19061;"15-03-2023";"28-03-2023";7;36,7;1;5,2
"Oisterwijk";32503;"15-03-2023";"28-03-2023";8;24,6;2;6,2
"Oldambt";38521;"15-03-2023";"28-03-2023";8;20,8;1;2,6
"Oldebroek";23930;"15-03-2023";"28-03-2023";4;16,7;5;20,9
"Oldenzaal";31741;"15-03-2023";"28-03-2023";2;6,3;1;3,2
"Olst-Wijhe";18496;"15-03-2023";"28-03-2023";6;32,4;1;5,4
"Ommen";18457;"15-03-2023";"28-03-2023";3;16,3;1;5,4
"Oost Gelre";29603;"15-03-2023";"28-03-2023";9;30,4;7;23,6
"Oosterhout";56535;"15-03-2023";"28-03-2023";3;5,3;7;12,4
"Ooststellingwerf";25680;"15-03-2023";"28-03-2023";4;15,6;0;0
"Oostzaan";9639;"15-03-2023";"28-03-2023";1;10,4;0;0
"Opmeer";12074;"15-03-2023";"28-03-2023";2;16,6;1;8,3
"Opsterland";29791;"15-03-2023";"28-03-2023";6;20,1;1;3,4
"Oss";93307;"15-03-2023";"28-03-2023";16;17,1;5;5,4
"Oude IJsselstreek";39387;"15-03-2023";"28-03-2023";18;45,7;6;15,2
"Ouder-Amstel";14212;"15-03-2023";"28-03-2023";1;7;0;0
"Oudewater";10159;"15-03-2023";"28-03-2023";1;9,8;2;19,7
"Overbetuwe";48266;"15-03-2023";"28-03-2023";10;20,7;3;6,2
"Papendrecht";32208;"15-03-2023";"28-03-2023";8;24,8;0;0
"Peel en Maas";44278;"15-03-2023";"28-03-2023";15;33,9;0;0
"Pekela";12196;"15-03-2023";"28-03-2023";1;8,2;0;0
"Pijnacker-Nootdorp";56572;"15-03-2023";"28-03-2023";11;19,4;2;3,5
"Purmerend";92240;"15-03-2023";"28-03-2023";28;30,4;5;5,4
"Putten";24598;"15-03-2023";"28-03-2023";3;12,2;0;0
"Raalte";38140;"15-03-2023";"28-03-2023";13;34,1;3;7,9
"Reimerswaal";22920;"15-03-2023";"28-03-2023";2;8,7;2;8,7
"Renkum";31358;"15-03-2023";"28-03-2023";17;54,2;5;15,9
"Renswoude";5651;"15-03-2023";"28-03-2023";0;0;0;0
"Reusel-De Mierden";13271;"15-03-2023";"28-03-2023";1;7,5;1;7,5
"Rheden";43435;"15-03-2023";"28-03-2023";15;34,5;3;6,9
"Rhenen";20265;"15-03-2023";"28-03-2023";5;24,7;2;9,9
"Ridderkerk";47099;"15-03-2023";"28-03-2023";15;31,8;7;14,9
"Rijssen-Holten";38231;"15-03-2023";"28-03-2023";4;10,5;1;2,6
"Rijswijk";56941;"15-03-2023";"28-03-2023";14;24,6;5;8,8
"Roerdalen";20558;"15-03-2023";"28-03-2023";4;19,5;0;0
"Roermond";59184;"15-03-2023";"28-03-2023";21;35,5;0;0
"Roosendaal";77244;"15-03-2023";"28-03-2023";12;15,5;4;5,2
"Rotterdam";655468;"15-03-2023";"28-03-2023";125;19,1;45;6,9
"Rozendaal";1756;"15-03-2023";"28-03-2023";0;0;0;0
"Rucphen";23326;"15-03-2023";"28-03-2023";3;12,9;2;8,6
"Schagen";46833;"15-03-2023";"28-03-2023";10;21,4;6;12,8
"Scherpenzeel";10317;"15-03-2023";"28-03-2023";0;0;0;0
"Schiedam";79644;"15-03-2023";"28-03-2023";6;7,5;2;2,5
"Schiermonnikoog";944;"15-03-2023";"28-03-2023";0;0;0;0
"Schouwen-Duiveland";34152;"15-03-2023";"28-03-2023";2;5,9;2;5,9
"Simpelveld";10425;"15-03-2023";"28-03-2023";1;9,6;0;0
"Sint-Michielsgestel";29731;"15-03-2023";"28-03-2023";6;20,2;5;16,8
"Sittard-Geleen";91719;"15-03-2023";"28-03-2023";18;19,6;3;3,3
"Sliedrecht";25897;"15-03-2023";"28-03-2023";15;57,9;0;0
"Sluis";23141;"15-03-2023";"28-03-2023";11;47,5;0;0
"Smallingerland";55895;"15-03-2023";"28-03-2023";8;14,3;0;0
"Soest";47113;"15-03-2023";"28-03-2023";9;19,1;2;4,2
"Someren";19701;"15-03-2023";"28-03-2023";3;15,2;4;20,3
"Son en Breugel";17775;"15-03-2023";"28-03-2023";2;11,3;0;0
"Stadskanaal";31851;"15-03-2023";"28-03-2023";8;25,1;1;3,1
"Staphorst";17282;"15-03-2023";"28-03-2023";2;11,6;1;5,8
"Stede Broec";21947;"15-03-2023";"28-03-2023";2;9,1;0;0
"Steenbergen";24333;"15-03-2023";"28-03-2023";2;8,2;5;20,5
"Steenwijkerland";44741;"15-03-2023";"28-03-2023";5;11,2;4;8,9
"Stein";24803;"15-03-2023";"28-03-2023";2;8,1;1;4
"Stichtse Vecht";65240;"15-03-2023";"28-03-2023";22;33,7;5;7,7
"Súdwest-Fryslân";90300;"15-03-2023";"28-03-2023";14;15,5;4;4,4
"Terneuzen";54501;"15-03-2023";"28-03-2023";28;51,4;2;3,7
"Terschelling";4960;"15-03-2023";"28-03-2023";0;0;0;0
"Texel";13687;"15-03-2023";"28-03-2023";1;7,3;1;7,3
"Teylingen";37942;"15-03-2023";"28-03-2023";27;71,2;5;13,2
"Tholen";26401;"15-03-2023";"28-03-2023";6;22,7;1;3,8
"Tiel";42277;"15-03-2023";"28-03-2023";13;30,7;5;11,8
"Tilburg";224459;"15-03-2023";"28-03-2023";47;20,9;9;4
"Tubbergen";21364;"15-03-2023";"28-03-2023";5;23,4;0;0
"Twenterand";33718;"15-03-2023";"28-03-2023";7;20,8;1;3
"Tynaarlo";34221;"15-03-2023";"28-03-2023";6;17,5;3;8,8
"Tytsjerksteradiel";32282;"15-03-2023";"28-03-2023";6;18,6;1;3,1
"Uitgeest";13563;"15-03-2023";"28-03-2023";0;0;0;0
"Uithoorn";31018;"15-03-2023";"28-03-2023";3;9,7;0;0
"Urk";21468;"15-03-2023";"28-03-2023";2;9,3;2;9,3
"Utrecht";361699;"15-03-2023";"28-03-2023";62;17,1;23;6,4
"Utrechtse Heuvelrug";49981;"15-03-2023";"28-03-2023";16;32;7;14
"Vaals";10135;"15-03-2023";"28-03-2023";1;9,9;0;0
"Valkenburg aan de Geul";16167;"15-03-2023";"28-03-2023";2;12,4;0;0
"Valkenswaard";31236;"15-03-2023";"28-03-2023";11;35,2;4;12,8
"Veendam";27466;"15-03-2023";"28-03-2023";2;7,3;1;3,6
"Veenendaal";67671;"15-03-2023";"28-03-2023";21;31;3;4,4
"Veere";21850;"15-03-2023";"28-03-2023";8;36,6;3;13,7
"Veldhoven";45822;"15-03-2023";"28-03-2023";14;30,6;5;10,9
"Velsen";68482;"15-03-2023";"28-03-2023";18;26,3;1;1,5
"Venlo";102136;"15-03-2023";"28-03-2023";17;16,6;1;1
"Venray";43964;"15-03-2023";"28-03-2023";7;15,9;1;2,3
"Vijfheerenlanden";58788;"15-03-2023";"28-03-2023";6;10,2;3;5,1
"Vlaardingen";74143;"15-03-2023";"28-03-2023";15;20,2;2;2,7
"Vlieland";1195;"15-03-2023";"28-03-2023";0;0;0;0
"Vlissingen";44585;"15-03-2023";"28-03-2023";13;29,2;6;13,5
"Voerendaal";12426;"15-03-2023";"28-03-2023";1;8;0;0
"Voorne aan Zee";73238;"15-03-2023";"28-03-2023";1;1,4;5;6,8
"Voorschoten";25627;"15-03-2023";"28-03-2023";9;35,1;0;0
"Voorst";24994;"15-03-2023";"28-03-2023";3;12;3;12
"Vught";31783;"15-03-2023";"28-03-2023";8;25,2;2;6,3
"Waadhoeke";46309;"15-03-2023";"28-03-2023";10;21,6;2;4,3
"Waalre";17626;"15-03-2023";"28-03-2023";4;22,7;2;11,3
"Waalwijk";49342;"15-03-2023";"28-03-2023";7;14,2;1;2
"Waddinxveen";31342;"15-03-2023";"28-03-2023";5;16;4;12,8
"Wageningen";39939;"15-03-2023";"28-03-2023";12;30;3;7,5
"Wassenaar";27115;"15-03-2023";"28-03-2023";8;29,5;1;3,7
"Waterland";17343;"15-03-2023";"28-03-2023";1;5,8;0;0
"Weert";50346;"15-03-2023";"28-03-2023";18;35,8;0;0
"West Betuwe";51971;"15-03-2023";"28-03-2023";11;21,2;3;5,8
"West Maas en Waal";19675;"15-03-2023";"28-03-2023";10;50,8;1;5,1
"Westerkwartier";64306;"15-03-2023";"28-03-2023";5;7,8;1;1,6
"Westerveld";19854;"15-03-2023";"28-03-2023";7;35,3;1;5
"Westervoort";14944;"15-03-2023";"28-03-2023";5;33,5;1;6,7
"Westerwolde";26571;"15-03-2023";"28-03-2023";5;18,8;2;7,5
"Westland";112448;"15-03-2023";"28-03-2023";27;24;12;10,7
"Weststellingwerf";26278;"15-03-2023";"28-03-2023";11;41,9;4;15,2
"Wierden";24643;"15-03-2023";"28-03-2023";1;4,1;0;0
"Wijchen";41344;"15-03-2023";"28-03-2023";13;31,4;8;19,3
"Wijdemeren";24494;"15-03-2023";"28-03-2023";2;8,2;0;0
"Wijk bij Duurstede";23921;"15-03-2023";"28-03-2023";6;25,1;4;16,7
"Winterswijk";29185;"15-03-2023";"28-03-2023";11;37,7;5;17,1
"Woensdrecht";22112;"15-03-2023";"28-03-2023";1;4,5;5;22,6
"Woerden";52882;"15-03-2023";"28-03-2023";12;22,7;6;11,3
"Wormerland";16381;"15-03-2023";"28-03-2023";0;0;0;0
"Woudenberg";13873;"15-03-2023";"28-03-2023";1;7,2;2;14,4
"Zaanstad";157166;"15-03-2023";"28-03-2023";38;24,2;8;5,1
"Zaltbommel";29957;"15-03-2023";"28-03-2023";2;6,7;0;0
"Zandvoort";17107;"15-03-2023";"28-03-2023";7;40,9;3;17,5
"Zeewolde";23348;"15-03-2023";"28-03-2023";3;12,8;0;0
"Zeist";65987;"15-03-2023";"28-03-2023";23;34,9;15;22,7
"Zevenaar";44645;"15-03-2023";"28-03-2023";18;40,3;6;13,4
"Zoetermeer";125767;"15-03-2023";"28-03-2023";25;19,9;5;4
"Zoeterwoude";9302;"15-03-2023";"28-03-2023";3;32,3;0;0
"Zuidplas";45794;"15-03-2023";"28-03-2023";7;15,3;2;4,4
"Zundert";22260;"15-03-2023";"28-03-2023";1;4,5;3;13,5
"Zutphen";48330;"15-03-2023";"28-03-2023";7;14,5;6;12,4
"Zwartewaterland";23012;"15-03-2023";"28-03-2023";7;30,4;3;13
"Zwijndrecht";44789;"15-03-2023";"28-03-2023";12;26,8;2;4,5
"Zwolle";130668;"15-03-2023";"28-03-2023";25;19,1;11;8,4
