"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Hoogeveen";55857;"16-11-2022";"29-11-2022";20;35,8;2;3,6;0;0
"Hoorn";74298;"16-11-2022";"29-11-2022";35;47,1;4;5,4;0;0
"Horst aan de Maas";43039;"16-11-2022";"29-11-2022";31;72;0;0;0;0
"Houten";50323;"16-11-2022";"29-11-2022";23;45,7;1;2;0;0
"Huizen";40938;"16-11-2022";"29-11-2022";26;63,5;0;0;0;0
"Hulst";27533;"16-11-2022";"29-11-2022";12;43,6;0;0;0;0
"IJsselstein";33429;"16-11-2022";"29-11-2022";16;47,9;1;3;0;0
"Kaag en Braassem";27895;"16-11-2022";"29-11-2022";7;25,1;0;0;0;0
"Kampen";54791;"16-11-2022";"29-11-2022";11;20,1;2;3,7;0;0
"Kapelle";13020;"16-11-2022";"29-11-2022";5;38,4;0;0;0;0
"Katwijk";66032;"16-11-2022";"29-11-2022";36;54,5;4;6,1;0;0
"Kerkrade";45324;"16-11-2022";"29-11-2022";35;77,2;1;2,2;0;0
"Koggenland";23048;"16-11-2022";"29-11-2022";7;30,4;0;0;0;0
"Krimpen aan den IJssel";29415;"16-11-2022";"29-11-2022";12;40,8;0;0;0;0
"Krimpenerwaard";57062;"16-11-2022";"29-11-2022";12;21;0;0;0;0
"Laarbeek";22943;"16-11-2022";"29-11-2022";13;56,7;2;8,7;0;0
"Land van Cuijk";90707;"16-11-2022";"29-11-2022";44;48,5;4;4,4;0;0
"Landgraaf";37023;"16-11-2022";"29-11-2022";29;78,3;3;8,1;0;0
"Landsmeer";11560;"16-11-2022";"29-11-2022";6;51,9;0;0;0;0
"Lansingerland";64110;"16-11-2022";"29-11-2022";41;64;1;1,6;0;0
"Laren";11528;"16-11-2022";"29-11-2022";6;52;1;8,7;0;0
"Leeuwarden";125504;"16-11-2022";"29-11-2022";79;62,9;2;1,6;0;0
"Leiden";125074;"16-11-2022";"29-11-2022";86;68,8;6;4,8;0;0
"Leiderdorp";27464;"16-11-2022";"29-11-2022";12;43,7;2;7,3;0;0
"Leidschendam-Voorburg";76659;"16-11-2022";"29-11-2022";47;61,3;2;2,6;0;0
"Lelystad";81214;"16-11-2022";"29-11-2022";68;83,7;4;4,9;0;0
"Leudal";35928;"16-11-2022";"29-11-2022";14;39;0;0;0;0
"Leusden";30713;"16-11-2022";"29-11-2022";22;71,6;0;0;0;0
"Lingewaard";46963;"16-11-2022";"29-11-2022";26;55,4;3;6,4;1;2,1
"Lisse";23015;"16-11-2022";"29-11-2022";4;17,4;0;0;0;0
"Lochem";34069;"16-11-2022";"29-11-2022";14;41,1;6;17,6;0;0
"Loon op Zand";23768;"16-11-2022";"29-11-2022";14;58,9;0;0;0;0
"Lopik";14512;"16-11-2022";"29-11-2022";4;27,6;0;0;0;0
"Losser";23084;"16-11-2022";"29-11-2022";6;26;1;4,3;0;0
"Maasdriel";25504;"16-11-2022";"29-11-2022";10;39,2;2;7,8;0;0
"Maasgouw";24028;"16-11-2022";"29-11-2022";12;49,9;0;0;0;0
"Maashorst";58362;"16-11-2022";"29-11-2022";18;30,8;4;6,9;0;0
"Maassluis";34148;"16-11-2022";"29-11-2022";11;32,2;2;5,9;0;0
"Maastricht";121151;"16-11-2022";"29-11-2022";100;82,5;0;0;0;0
"Medemblik";45464;"16-11-2022";"29-11-2022";19;41,8;1;2,2;0;0
"Meerssen";18581;"16-11-2022";"29-11-2022";13;70;0;0;0;0
"Meierijstad";82613;"16-11-2022";"29-11-2022";33;39,9;4;4,8;0;0
"Meppel";34761;"16-11-2022";"29-11-2022";17;48,9;0;0;0;0
"Middelburg";49199;"16-11-2022";"29-11-2022";40;81,3;1;2;0;0
"Midden-Delfland";19484;"16-11-2022";"29-11-2022";19;97,5;0;0;0;0
"Midden-Drenthe";33689;"16-11-2022";"29-11-2022";5;14,8;0;0;0;0
"Midden-Groningen";60898;"16-11-2022";"29-11-2022";33;54,2;2;3,3;0;0
"Moerdijk";37313;"16-11-2022";"29-11-2022";18;48,2;3;8;0;0
"Molenlanden";44644;"16-11-2022";"29-11-2022";9;20,2;0;0;0;0
"Montferland";36359;"16-11-2022";"29-11-2022";17;46,8;1;2,8;0;0
"Montfoort";13818;"16-11-2022";"29-11-2022";5;36,2;0;0;0;0
"Mook en Middelaar";7989;"16-11-2022";"29-11-2022";7;87,6;1;12,5;0;0
"Neder-Betuwe";25032;"16-11-2022";"29-11-2022";9;36;1;4;0;0
"Nederweert";17323;"16-11-2022";"29-11-2022";7;40,4;0;0;0;0
"Nieuwegein";64554;"16-11-2022";"29-11-2022";32;49,6;1;1,5;0;0
"Nieuwkoop";29304;"16-11-2022";"29-11-2022";13;44,4;1;3,4;0;0
"Nijkerk";44311;"16-11-2022";"29-11-2022";23;51,9;0;0;0;0
"Nijmegen";179100;"16-11-2022";"29-11-2022";124;69,2;15;8,4;1;0,6
"Nissewaard";86332;"16-11-2022";"29-11-2022";60;69,5;2;2,3;0;0
"Noardeast-Fryslân";45593;"16-11-2022";"29-11-2022";18;39,5;1;2,2;0;0
"Noord-Beveland";7668;"16-11-2022";"29-11-2022";5;65,2;0;0;0;0
"Noordenveld";31238;"16-11-2022";"29-11-2022";8;25,6;1;3,2;0;0
"Noordoostpolder";48048;"16-11-2022";"29-11-2022";34;70,8;1;2,1;0;0
"Noordwijk";44365;"16-11-2022";"29-11-2022";16;36,1;1;2,3;0;0
"Nuenen, Gerwen en Nederwetten";23826;"16-11-2022";"29-11-2022";18;75,5;3;12,6;0;0
"Nunspeet";28223;"16-11-2022";"29-11-2022";8;28,3;1;3,5;0;0
"Oegstgeest";25499;"16-11-2022";"29-11-2022";13;51;0;0;0;0
"Oirschot";19061;"16-11-2022";"29-11-2022";7;36,7;1;5,2;0;0
"Oisterwijk";32503;"16-11-2022";"29-11-2022";20;61,5;1;3,1;0;0
"Oldambt";38521;"16-11-2022";"29-11-2022";13;33,7;0;0;0;0
"Oldebroek";23930;"16-11-2022";"29-11-2022";11;46;0;0;0;0
"Oldenzaal";31741;"16-11-2022";"29-11-2022";11;34,7;2;6,3;0;0
"Olst-Wijhe";18496;"16-11-2022";"29-11-2022";4;21,6;0;0;0;0
"Ommen";18457;"16-11-2022";"29-11-2022";6;32,5;0;0;0;0
"Oost Gelre";29603;"16-11-2022";"29-11-2022";10;33,8;1;3,4;0;0
"Oosterhout";56535;"16-11-2022";"29-11-2022";38;67,2;4;7,1;0;0
"Ooststellingwerf";25680;"16-11-2022";"29-11-2022";7;27,3;0;0;0;0
"Oostzaan";9639;"16-11-2022";"29-11-2022";5;51,9;1;10,4;0;0
"Opmeer";12074;"16-11-2022";"29-11-2022";5;41,4;0;0;0;0
"Opsterland";29791;"16-11-2022";"29-11-2022";11;36,9;2;6,7;0;0
"Oss";93307;"16-11-2022";"29-11-2022";40;42,9;4;4,3;0;0
"Oude IJsselstreek";39387;"16-11-2022";"29-11-2022";13;33;1;2,5;0;0
"Ouder-Amstel";14212;"16-11-2022";"29-11-2022";6;42,2;0;0;0;0
"Oudewater";10159;"16-11-2022";"29-11-2022";4;39,4;0;0;0;0
"Overbetuwe";48266;"16-11-2022";"29-11-2022";38;78,7;0;0;1;2,1
"Papendrecht";32208;"16-11-2022";"29-11-2022";12;37,3;1;3,1;0;0
"Peel en Maas";44278;"16-11-2022";"29-11-2022";13;29,4;1;2,3;0;0
"Pekela";12196;"16-11-2022";"29-11-2022";2;16,4;0;0;0;0
"Pijnacker-Nootdorp";56572;"16-11-2022";"29-11-2022";21;37,1;1;1,8;0;0
"Purmerend";92240;"16-11-2022";"29-11-2022";32;34,7;6;6,5;0;0
"Putten";24598;"16-11-2022";"29-11-2022";16;65;0;0;0;0
"Raalte";38140;"16-11-2022";"29-11-2022";7;18,4;0;0;0;0
"Reimerswaal";22920;"16-11-2022";"29-11-2022";7;30,5;0;0;0;0
"Renkum";31358;"16-11-2022";"29-11-2022";25;79,7;1;3,2;0;0
"Renswoude";5651;"16-11-2022";"29-11-2022";0;0;0;0;0;0
"Reusel-De Mierden";13271;"16-11-2022";"29-11-2022";6;45,2;2;15,1;0;0
"Rheden";43435;"16-11-2022";"29-11-2022";26;59,9;0;0;0;0
"Rhenen";20265;"16-11-2022";"29-11-2022";17;83,9;1;4,9;0;0
"Ridderkerk";47099;"16-11-2022";"29-11-2022";28;59,4;0;0;0;0
"Rijssen-Holten";38231;"16-11-2022";"29-11-2022";9;23,5;0;0;0;0
"Rijswijk";56941;"16-11-2022";"29-11-2022";29;50,9;2;3,5;0;0
"Roerdalen";20558;"16-11-2022";"29-11-2022";11;53,5;0;0;0;0
"Roermond";59184;"16-11-2022";"29-11-2022";45;76;0;0;0;0
"Roosendaal";77244;"16-11-2022";"29-11-2022";27;35;0;0;0;0
"Rotterdam";655468;"16-11-2022";"29-11-2022";384;58,6;24;3,7;0;0
"Rozendaal";1756;"16-11-2022";"29-11-2022";1;56,9;0;0;0;0
"Rucphen";23326;"16-11-2022";"29-11-2022";9;38,6;1;4,3;0;0
"Schagen";46833;"16-11-2022";"29-11-2022";18;38,4;1;2,1;0;0
"Scherpenzeel";10317;"16-11-2022";"29-11-2022";6;58,2;0;0;0;0
"Schiedam";79644;"16-11-2022";"29-11-2022";36;45,2;4;5;1;1,3
